Source,Target,Type,Id,Label,Weight
Balon-Swann,Joffrey-Baratheon,Undirected,452,,11
Arya-Stark,Joffrey-Baratheon,Undirected,324,,53
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,97,,6
Jon-Arryn,Robert-Arryn,Undirected,1985,,3
Jon-Arryn,Pycelle,Undirected,1984,,11
Jon-Arryn,Petyr-Baelish,Undirected,1983,,7
Jon-Arryn,Lysa-Arryn,Undirected,1982,,19
Bran-Stark,Jon-Arryn,Undirected,646,,7
Jon-Connington,Robert-Baratheon,Undirected,1994,,8
Jon-Connington,Rhaegar-Targaryen,Undirected,1993,,7
Jon-Snow,Yoren,Undirected,2057,,6
Jon-Snow,Tormund,Undirected,2047,,73
Jon-Snow,Theon-Greyjoy,Undirected,2042,,16
Jon-Snow,Selyse-Florent,Undirected,2034,,38
Jon-Snow,Sansa-Stark,Undirected,2032,,11
Jon-Snow,Samwell-Tarly,Undirected,2031,,228
Jon-Snow,Rodrik-Cassel,Undirected,2028,,3
Jon-Snow,Robert-Baratheon,Undirected,2027,,29
Jon-Snow,Melisandre,Undirected,2010,,57
Jon-Snow,Mance-Rayder,Undirected,2008,,112
Jon-Snow,Jory-Cassel,Undirected,2001,,3
Craster,Jon-Snow,Undirected,1038,,36
Bran-Stark,Jon-Snow,Undirected,647,,90
Benjen-Stark,Jon-Snow,Undirected,556,,48
Arya-Stark,Jon-Snow,Undirected,325,,71
Jory-Cassel,Rodrik-Cassel,Undirected,2091,,5
Jory-Cassel,Petyr-Baelish,Undirected,2088,,8
Lysa-Arryn,Robert-Arryn,Undirected,2233,,23
Mace-Tyrell,Tommen-Baratheon,Undirected,2252,,10
Mace-Tyrell,Sansa-Stark,Undirected,2250,,9
Mace-Tyrell,Renly-Baratheon,Undirected,2248,,4
Mace-Tyrell,Pycelle,Undirected,2246,,4
Mace-Tyrell,Margaery-Tyrell,Undirected,2241,,11
Mance-Rayder,Tormund,Undirected,2281,,32
Mance-Rayder,Theon-Greyjoy,Undirected,2279,,9
Mance-Rayder,Samwell-Tarly,Undirected,2275,,10
Mance-Rayder,Ramsay-Snow,Undirected,2272,,7
Mance-Rayder,Melisandre,Undirected,2269,,6
Craster,Mance-Rayder,Undirected,1039,,10
Benjen-Stark,Mance-Rayder,Undirected,558,,3
Arya-Stark,Mance-Rayder,Undirected,332,,3
Margaery-Tyrell,Tommen-Baratheon,Undirected,2302,,51
Margaery-Tyrell,Sansa-Stark,Undirected,2298,,41
Margaery-Tyrell,Renly-Baratheon,Undirected,2296,,19
Myrcella-Baratheon,Tommen-Baratheon,Undirected,2395,,36
Myrcella-Baratheon,Robert-Arryn,Undirected,2389,,4
Doran-Martell,Myrcella-Baratheon,Undirected,1239,,15
Balon-Swann,Myrcella-Baratheon,Undirected,456,,4
Oberyn-Martell,Tywin-Lannister,Undirected,2418,,9
Oberyn-Martell,Tyrion-Lannister,Undirected,2417,,41
Oberyn-Martell,Sansa-Stark,Undirected,2415,,3
Mace-Tyrell,Oberyn-Martell,Undirected,2243,,15
Gregor-Clegane,Oberyn-Martell,Undirected,1550,,42
Doran-Martell,Oberyn-Martell,Undirected,1242,,14
Arianne-Martell,Oberyn-Martell,Undirected,261,,3
Petyr-Baelish,Rodrik-Cassel,Undirected,2479,,7
Petyr-Baelish,Robert-Arryn,Undirected,2477,,26
Petyr-Baelish,Pycelle,Undirected,2474,,26
Petyr-Baelish,Podrick-Payne,Undirected,2473,,4
Lysa-Arryn,Petyr-Baelish,Undirected,2232,,47
Edmure-Tully,Petyr-Baelish,Undirected,1379,,4
Hizdahr-zo-Loraq,Quentyn-Martell,Undirected,1698,,15
Doran-Martell,Quentyn-Martell,Undirected,1243,,4
Arianne-Martell,Quentyn-Martell,Undirected,262,,8
Ramsay-Snow,Roose-Bolton,Undirected,2552,,23
Ramsay-Snow,Rodrik-Cassel,Undirected,2551,,5
Bran-Stark,Ramsay-Snow,Undirected,659,,7
Renly-Baratheon,Sansa-Stark,Undirected,2578,,16
Renly-Baratheon,Sandor-Clegane,Undirected,2577,,7
Pycelle,Renly-Baratheon,Undirected,2508,,7
Petyr-Baelish,Renly-Baratheon,Undirected,2475,,17
Melisandre,Renly-Baratheon,Undirected,2331,,4
Balon-Swann,Renly-Baratheon,Undirected,458,,3
Rhaegar-Targaryen,Sansa-Stark,Undirected,2589,,3
Rhaegar-Targaryen,Robert-Baratheon,Undirected,2588,,48
Jorah-Mormont,Rhaegar-Targaryen,Undirected,2081,,14
Barristan-Selmy,Rhaegar-Targaryen,Undirected,498,,3
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,100,,14
Robb-Stark,Yoren,Undirected,2630,,3
Robb-Stark,Wyman-Manderly,Undirected,2629,,6
Robb-Stark,Walder-Frey,Undirected,2625,,40
Robb-Stark,Theon-Greyjoy,Undirected,2618,,76
Robb-Stark,Stannis-Baratheon,Undirected,2614,,22
Robb-Stark,Sansa-Stark,Undirected,2612,,44
Robb-Stark,Samwell-Tarly,Undirected,2611,,4
Robb-Stark,Roose-Bolton,Undirected,2608,,24
Robb-Stark,Rodrik-Cassel,Undirected,2605,,27
Robb-Stark,Robert-Baratheon,Undirected,2603,,9
Renly-Baratheon,Robb-Stark,Undirected,2575,,25
Ramsay-Snow,Robb-Stark,Undirected,2550,,7
Petyr-Baelish,Robb-Stark,Undirected,2476,,6
Myrcella-Baratheon,Robb-Stark,Undirected,2388,,3
Jory-Cassel,Robb-Stark,Undirected,2089,,9
Jon-Snow,Robb-Stark,Undirected,2026,,91
Gregor-Clegane,Robb-Stark,Undirected,1556,,4
Edmure-Tully,Robb-Stark,Undirected,1380,,51
Eddard-Stark,Robb-Stark,Undirected,1333,,46
Davos-Seaworth,Robb-Stark,Undirected,1183,,3
Brienne-of-Tarth,Robb-Stark,Undirected,720,,5
Bran-Stark,Robb-Stark,Undirected,665,,169
Benjen-Stark,Robb-Stark,Undirected,559,,7
Balon-Greyjoy,Robb-Stark,Undirected,441,,11
Arya-Stark,Robb-Stark,Undirected,348,,44
Robert-Baratheon,Tommen-Baratheon,Undirected,2640,,12
Robert-Baratheon,Sansa-Stark,Undirected,2636,,35
Robert-Baratheon,Sandor-Clegane,Undirected,2635,,14
Renly-Baratheon,Robert-Baratheon,Undirected,2576,,80
Pycelle,Robert-Baratheon,Undirected,2509,,29
Petyr-Baelish,Robert-Baratheon,Undirected,2478,,30
Myrcella-Baratheon,Robert-Baratheon,Undirected,2390,,3
Margaery-Tyrell,Robert-Baratheon,Undirected,2297,,5
Lysa-Arryn,Robert-Baratheon,Undirected,2234,,8
Jory-Cassel,Robert-Baratheon,Undirected,2090,,7
Jorah-Mormont,Robert-Baratheon,Undirected,2082,,10
Jon-Arryn,Robert-Baratheon,Undirected,1986,,39
Gregor-Clegane,Robert-Baratheon,Undirected,1557,,4
Gendry,Robert-Baratheon,Undirected,1494,,3
Drogo,Robert-Baratheon,Undirected,1277,,3
Doran-Martell,Robert-Baratheon,Undirected,1244,,3
Brienne-of-Tarth,Robert-Baratheon,Undirected,721,,3
Bran-Stark,Robert-Baratheon,Undirected,666,,11
Benjen-Stark,Robert-Baratheon,Undirected,560,,6
Barristan-Selmy,Robert-Baratheon,Undirected,499,,51
Balon-Greyjoy,Robert-Baratheon,Undirected,442,,8
Asha-Greyjoy,Robert-Baratheon,Undirected,393,,4
